feature,effect,importance
extra,-0.08954403955182039,0.0
expensive,0.03467676328679559,0.0
expecting,0.2195027426888238,0.0
expectations,0.08011937400430402,0.0
excited,-0.10600750666089576,0.0
except,-0.004118632668649813,0.0
ever,-0.021512666760700794,0.0
down,0.027536622633803576,0.0
evening,-0.23086063987518063,0.0
even,-0.012307264437326992,0.0
etc,-0.05775020644500717,0.0
especially,0.03165193768494301,0.0
entire,0.14836454414351202,0.0
enough,0.024737587883446266,0.0
ended,0.11910427520140948,0.0
end,0.137729696007671,0.0
early,-0.05666992586537245,0.0
during,-0.05049622699128625,0.0
due,0.10132302712010915,0.0
downtown,0.17913491066289544,0.0
clerk,0.2021379132540112,0.0
clean,0.09134344977513326,0.0
checking,0.15777643639623645,0.0
also,-0.07582614001013005,0.0
asking,0.11260498130677449,0.0
asked,0.08797586407207086,0.0
ask,0.22303210582233862,0.0
as,0.11236009090338533,0.0
around,0.0013045403063409178,0.0
area,0.08746801178982178,0.0
apparently,0.21116481552152194,0.0
anything,0.2169364940552358,0.0
any,-0.02777473809393327,0.0
another,-0.05518563028391771,0.0
amenities,0.05586452454950097,0.0
although,0.045612817208115664,0.0
already,0.13808347978457214,0.0
available,0.13564298796352098,0.0
almost,-0.16385029462571798,0.0
allegro,0.06768884447858858,0.0
air,0.22298666458335092,0.0
actually,0.09618573873675218,0.0
across,-0.06689312737747538,0.0
accommodations,0.10970044838900028,0.0
above,0.12787888648432516,0.0
about,-0.00768922190635668,0.0
able,0.01687686824748663,0.0
30,-0.10449053278256054,0.0
20,-0.01405548865741335,0.0
15,-0.04751163775576289,0.0
attractions,0.16183586065972116,0.0
bad,-0.04702159838997527,0.0
checked,0.04559721458461935,0.0
boutique,0.02505570930104606,0.0
change,0.14412059659183873,0.0
chain,0.15947366988444484,0.0
center,-0.07798193827169786,0.0
carpet,0.019714951846756423,0.0
care,0.20062860495368023,0.0
card,-0.010537802182670641,0.0
cannot,-0.09786132683616283,0.0
came,-0.05456174148998166,0.0
calls,-0.10149101999362203,0.0
cab,-0.29005602996804725,0.0
building,-0.09535331685198911,0.0
breakfast,-0.08777579852060802,0.0
booked,0.03909649921066777,0.0
bags,0.33750619868265785,0.0
book,0.17949547984179837,0.0
bit,-0.10402353819346333,0.0
big,-0.08627432479756353,0.0
best,0.08067329203313672,0.0
bell,0.02670879511119978,0.0
before,0.10332423094047599,0.0
been,0.05531759799795877,0.0
beds,0.03481143768473144,0.0
beautiful,-0.19587842567624464,0.0
be,0.09810413678675167,0.0
basically,-0.24584191307179118,0.0
barely,-0.18563411434203958,0.0
fine,-0.010468507381213354,0.0
fitness,0.08921234486367047,0.0
number,-0.18933776199744323,0.0
food,0.02669133826945358,0.0
main,-0.19640447329911892,0.0
10,-0.14445308132455564,0.0
magnificent,0.17416332802051004,0.0
made,0.15261423813421682,0.0
luxurious,0.3456845585893696,0.0
luggage,0.03317322590543409,0.0
lounge,-0.3258751533314964,0.0
lot,0.12924089012556644,0.0
lost,-0.05862802672016143,0.0
looked,0.15729370293581746,0.0
look,0.005895950824018503,0.0
located,0.16245091875074152,0.0
lobby,-0.10066993056118512,0.0
ll,-0.02769548780957848,0.0
little,-0.015502325419995355,0.0
linens,0.0622163863371632,0.0
like,0.1392079228332705,0.0
level,-0.1286166315269332,0.0
let,0.08038935546006398,0.0
less,0.019063067740743678,0.0
left,0.009794170399485769,0.0
leave,0.03793522186224646,0.0
least,-0.001338438000515696,0.0
later,-0.002630015375791439,0.0
last,0.1935203082426265,0.0
large,-0.06864624854318024,0.0
lady,-0.06785182272601126,0.0
major,-0.23929169688296134,0.0
man,-0.04404420986962826,0.0
manager,0.0026590307709556393,0.0
needed,0.07598592313645419,0.0
now,-0.14120577345245827,0.0
noticed,-0.11263237477901483,0.0
nothing,0.063143443598071,0.0
nor,0.023099587554253564,0.0
non,0.2767868500596785,0.0
noisy,-0.10792755259504261,0.0
noise,0.09880467182159008,0.0
nights,-0.14001851396616943,0.0
night,0.018989886542232493,0.0
nice,-0.04125185355783895,0.0
next,0.12599573042108048,0.0
new,0.04691012713579734,0.0
nearby,0.13685990834107398,0.0
maybe,-0.024796818698156642,0.0
name,0.018372867302934692,0.0
must,0.030139924383447703,0.0
much,-0.09386690519201363,0.0
moved,-0.038681339346489985,0.0
motel,0.16379368650406356,0.0
morning,-0.08038151574506869,0.0
more,-0.03599438021578105,0.0
money,0.11247199601471847,0.0
minutes,0.052275961170379026,0.0
minute,0.15171245152199642,0.0
mile,0.17416332802051004,0.0
me,0.1080896104406201,0.0
know,0.01983532854184228,0.0
king,0.025482596788952927,0.0
kimpton,-0.07938573619869838,0.0
going,0.08178584358331897,0.0
has,-0.14300110131462834,0.0
hard,-0.12784316070945345,0.0
happened,0.007313400940533288,0.0
half,0.053871276045592775,0.0
hair,0.11253540205576829,0.0
hadn,0.2929790519444184,0.0
had,0.07182304558502256,0.0
guests,-0.027179332228190856,0.0
guest,0.0176842187728955,0.0
greeted,0.17865519409011382,0.0
got,0.058116347888251096,0.0
good,-0.1252846578161127,0.0
go,-0.0863987760087449,0.0
he,0.08804667613787492,0.0
given,0.05150946731210759,0.0
give,-0.023313474748576868,0.0
getting,0.09891900336795179,0.0
get,0.02699159045988264,0.0
gave,-0.06147009876957216,0.0
full,-0.05662895790443778,0.0
front,0.11527726883711148,0.0
from,0.045764748076872364,0.0
friendly,-0.055507584310789615,0.0
free,-0.14713418275905626,0.0
four,-0.11079797725186602,0.0
forward,0.13169976588333016,0.0
having,0.14956750735083385,0.0
hear,-0.14040482645519697,0.0
kids,0.12954984627056132,0.0
husband,-0.08849221900972665,0.0
key,0.0005860158519804259,0.0
kept,-0.02064328044318431,0.0
keep,-0.02042317571902519,0.0
itself,0.18600711332642506,0.0
its,0.0109464210138841,0.0
items,0.008008638064017137,0.0
into,0.003514450176042294,0.0
internet,-0.0542546155772628,0.0
intercontinental,0.16991339721734566,0.0
instead,-0.1866479817524178,0.0
inn,-0.06517559703911147,0.0
if,0.08693145468824559,0.0
huge,0.048852681292951894,0.0
helpful,-0.23452753204782512,0.0
housekeeping,0.021100115834053967,0.0
house,0.05053433018737491,0.0
hours,-0.16271816883949142,0.0
hour,0.008148460716204342,0.0
horrible,0.1233418092578556,0.0
home,-0.0833007600529096,0.0
holiday,-0.14037818663182083,0.0
his,0.12649479018799237,0.0
him,0.01262344110665431,0.0
hilton,0.044355923212737014,0.0
here,-0.0022975046776799735,0.0
her,0.2494110495277837,0.0
your,-0.034483972501107185,0.0
